ds,cluster,y,yhat,yhat_upper,yhat_lower
2013-01-01T00:00:00.000Z,1,2406.619140625,5042.190054043058,13996.819972034918,-3216.593332987687
2013-01-02T00:00:00.000Z,1,23333.625,24321.85511408346,32283.71621137834,15664.317459362112
2013-01-03T00:00:00.000Z,1,18723.720703125,20636.891242565674,29127.000903023807,12099.494157575433
2013-01-04T00:00:00.000Z,1,19197.302734375,21953.040449238793,30495.46545879692,13589.846404347561
2013-01-05T00:00:00.000Z,1,23915.041015625,23966.3819972322,32959.98016426306,15241.85885301551
2013-01-06T00:00:00.000Z,1,22718.7734375,26329.772046105456,34702.6821932086,17926.689371888133
2013-01-07T00:00:00.000Z,1,15864.984375,21639.736332369295,29538.689509963107,13208.65454057241
2013-01-08T00:00:00.000Z,1,15916.6708984375,19170.85504480574,27961.30342820057,11508.48378217063
2013-01-09T00:00:00.000Z,1,18295.19921875,20659.314640729983,28342.819279876727,11714.929106733465
2013-01-10T00:00:00.000Z,1,14841.00390625,17572.645671001334,25909.711968872096,9593.806994609986
2013-01-11T00:00:00.000Z,1,17404.37890625,18880.285351879626,27105.86009814596,10946.867996270337
2013-01-12T00:00:00.000Z,1,23490.078125,23534.533927065833,31838.44374744117,15517.501062434118
2013-01-13T00:00:00.000Z,1,23328.814453125,23422.190143279287,32184.32540384451,15544.110880853335
2013-01-14T00:00:00.000Z,1,16231.9306640625,18832.68939754147,27239.69891835296,10546.634761155601
2013-01-15T00:00:00.000Z,1,16154.220703125,17288.584679125768,25649.873473890773,8246.438037514408
2013-01-16T00:00:00.000Z,1,19266.66796875,19864.267520195717,28475.67385343407,11525.152552327007
2013-01-17T00:00:00.000Z,1,16747.373046875,16125.463492787048,24672.61511783187,6978.893443544633
2013-01-18T00:00:00.000Z,1,19627.73046875,17016.59380995822,26044.026823800075,9281.90520848073
2013-01-19T00:00:00.000Z,1,25119.35546875,22566.209758706,31129.33278316373,14108.019346311681
2013-01-20T00:00:00.000Z,1,21180.50390625,22228.531369375858,30104.1003316157,14126.827550613587
2013-01-21T00:00:00.000Z,1,17332.19921875,17899.532088531658,25847.1021004982,8636.521202366659
2013-01-22T00:00:00.000Z,1,15601.4306640625,15919.01282950732,23882.22024150445,8077.255085479841
2013-01-23T00:00:00.000Z,1,19175.611328125,17971.497213387847,27062.510764200702,9359.950658586986
2013-01-24T00:00:00.000Z,1,16448.345703125,15387.13098187735,24429.260552337095,7227.072922737501
2013-01-25T00:00:00.000Z,1,20053.263671875,17271.333291583298,25489.489585704745,8311.209600230273
2013-01-26T00:00:00.000Z,1,24814.767578125,23098.35039776572,31782.401765019404,14412.157559827985
2013-01-27T00:00:00.000Z,1,21471.095703125,22955.444352075712,31794.647072164913,14747.773407469189
2013-01-28T00:00:00.000Z,1,16169.5146484375,18771.56863852232,27174.760541240314,10464.009013426132
2013-01-29T00:00:00.000Z,1,15519.015625,16868.67395497701,24923.730416645943,8437.200684755826
2013-01-30T00:00:00.000Z,1,19182.138671875,19011.922280672683,27569.46684933239,10309.210708347104
2013-01-31T00:00:00.000Z,1,16580.9296875,17212.28167990015,25866.110917528516,9034.082658452939
2013-02-01T00:00:00.000Z,1,24253.041015625,19971.020353235013,28757.135257858357,11722.576618964895
2013-02-02T00:00:00.000Z,1,30325.759765625,24901.939750712016,33834.8365174914,16350.852932339305
2013-02-03T00:00:00.000Z,1,23980.634765625,23949.875209000824,32609.76155397833,15410.79077510768
2013-02-04T00:00:00.000Z,1,18478.53125,19622.41998770495,27062.281538151816,10545.038438541073
2013-02-05T00:00:00.000Z,1,18450.25,17572.07904172793,25778.225723595384,9274.725553242948
2013-02-06T00:00:00.000Z,1,21845.3984375,19579.825476462207,28182.41869970074,11764.596203360768
2013-02-07T00:00:00.000Z,1,20191.744140625,16822.384472307964,25263.427398960477,8286.427737472442
2013-02-08T00:00:00.000Z,1,29756.837890625,18556.715713789185,27119.71286961598,10286.960412023456
2013-02-09T00:00:00.000Z,1,37091.34375,24260.298426110283,32414.678773061827,14944.875415692213
2013-02-10T00:00:00.000Z,1,26378.25390625,23865.785672176156,32604.216183307202,15362.002310561684
2013-02-11T00:00:00.000Z,1,21614.26953125,21311.519387766613,29948.97806070385,12821.305703323118
2013-02-12T00:00:00.000Z,1,18792.736328125,19106.080975708293,27894.395796375837,10344.606087994402
2013-02-13T00:00:00.000Z,1,23250.06640625,19041.9044100977,27846.79380197692,10656.153154299613
2013-02-14T00:00:00.000Z,1,17471.859375,16169.3758245586,24546.284842039786,8206.63241891642
2013-02-15T00:00:00.000Z,1,20472.79296875,18642.720628331223,26731.54557950133,10581.05701311655
2013-02-16T00:00:00.000Z,1,23819.212890625,25244.958982250817,34319.11432185815,16236.926215108699
2013-02-17T00:00:00.000Z,1,17184.9765625,23934.251209972674,32470.98909489583,14904.69677942852
2013-02-18T00:00:00.000Z,1,19563.341796875,18653.19778856225,26994.749718792722,10287.145053027483
2013-02-19T00:00:00.000Z,1,16213.203125,16524.765584810575,25014.82711960304,8382.61093051543
2013-02-20T00:00:00.000Z,1,21726.392578125,18556.486220211747,27356.235855038267,10114.29267623892
2013-02-21T00:00:00.000Z,1,17042.068359375,15806.835549509307,23650.915427583306,7819.985838916585
2013-02-22T00:00:00.000Z,1,21623.6015625,17672.84597538421,26209.80369302256,9972.464054256427
2013-02-23T00:00:00.000Z,1,27696.953125,23619.810463194568,32150.972705774762,15718.226408101962
2013-02-24T00:00:00.000Z,1,21752.248046875,23434.642777885212,31905.865001421233,14637.182647534744
2013-02-25T00:00:00.000Z,1,18339.48046875,19118.543992205163,28155.077501736563,11160.978461576524
2013-02-26T00:00:00.000Z,1,15909.962890625,17187.50636498023,25071.128014939146,8896.95606343464
2013-02-27T00:00:00.000Z,1,20191.705078125,19462.89333093589,28127.41014151044,11259.433782452268
2013-02-28T00:00:00.000Z,1,17215.208984375,17714.570989174812,25079.944411315304,8539.12166085577
2013-03-01T00:00:00.000Z,1,25965.5546875,20706.64890446643,29120.03502719018,12584.313241278292
2013-03-02T00:00:00.000Z,1,29295.611328125,25959.810520380597,34510.11102575171,17109.590176609647
2013-03-03T00:00:00.000Z,1,26212.728515625,25203.913143540936,33161.000721268305,17085.454966512385
2013-03-04T00:00:00.000Z,1,19694.4296875,21020.42808581798,29446.240263378953,12611.754176915383
2013-03-05T00:00:00.000Z,1,18042.873046875,19201.305584495145,28281.790366281304,10424.496484945359
